model,version,mean,std,n,ci95,file_path,chunk_size,chunk_overlap
llama2,v1,0.25,0.2564945880212885,20,0.11241370959657523,analysis/human_test/v1/llama2/questoes_with_answers_scored.csv,,
llama3,v1,0.44473684210526315,0.14131794024085592,19,0.063544295580087,analysis/human_test/v1/llama3_chunk1024_100/questoes_with_answersv_k=20_scored.csv,1024.0,100.0
llama3,v1,0.41,0.1474341958477176,20,0.0646158852882087,analysis/human_test/v1/llama3_chunk1024_100/questoes_with_answers_k=10_scored.csv,1024.0,100.0
llama3,v1,0.3842105263157895,0.19224740395512596,19,0.08644497535562809,analysis/human_test/v1/llama3_chunk1024_100/questoes_with_answersk=40_scored.csv,1024.0,100.0
llama3_1,v1,0.1875,0.30213059218960614,20,0.13241457027477235,analysis/human_test/v1/llama3_1/questoes_with_answers_scored.csv,,
mistral,v1,0.1875,0.2795084971874737,20,0.1225,analysis/human_test/v1/mistral/questoes_with_answers_scored.csv,,
unknown,v1,0.3,0.3304701594936969,20,0.14483493326796834,analysis/human_test/v2/questoes_with_answers_scored.csv,,
