Docente,Disciplina,Curso,Turma
Cintia Rosa da Silva,"CEE4001, Introdução à Educação Matemática",MATEMÁTICA - Licenciatura,1756
Ciro André Pitz,"BLU3700, Metrologia e Instrumentação para Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Ciro André Pitz,"BLU3700, Metrologia e Instrumentação para Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754B
Ciro André Pitz,"BLU3015, Processamento Digital de Sinais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Claudia Merlini,"EMT2704, Materiais Compósitos",ENGENHARIA DE MATERIAIS,07753
Claudio Michel Poffo,"EMT2302, Termodinâmica para Engenharia de Materiais",ENGENHARIA DE MATERIAIS,04753
Cristiane da Costa,"DET1202, Ciências dos Materiais Têxteis",ENGENHARIA TÊXTIL,2755
Cristiane da Costa,"BLU3301, Química Tecnológica",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754B
Cristiane da Costa,"BLU3301, Química Tecnológica",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754A
Cristiano da Silva Teixeira,"EMT2006, Estágio Supervisionado I",ENGENHARIA DE MATERIAIS,06753
Cristiano da Silva Teixeira,"EMT2027, Tópicos Especiais: Materiais Magnéticos",ENGENHARIA DE MATERIAIS,07753
Cristiano da Silva Teixeira,"EMT2007, Estágio Supervisionado II",ENGENHARIA DE MATERIAIS,08753
Cristiano da Silva Teixeira,"EMT2008, Estágio Supervisionado III",ENGENHARIA DE MATERIAIS,010753
Cristiano da Silva Teixeira,"EMT2206, Fundamentos de Engenharia de Materiais I",ENGENHARIA DE MATERIAIS,2753
Cristiano da Silva Teixeira,"EMT2208, Caracterização de Materiais I",ENGENHARIA DE MATERIAIS,3753
Cristina Luz Cardoso,"CAC6002, Desenho Técnico para Engenharia",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,01754A
Cristina Luz Cardoso,"CAC6002, Desenho Técnico para Engenharia",ENGENHARIA DE MATERIAIS,1753A
Daniel Alejandro Ponce Saldias,"BLU6011, Mecânica dos Sólidos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754
Daniel Alejandro Ponce Saldias,"BLU3603, Acionamentos Hidráulicos e Pneumáticos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754B
Daniel Alejandro Ponce Saldias,"BLU3603, Acionamentos Hidráulicos e Pneumáticos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754A
Daniel Almeida Fagundes,"CEE2500, Física IV",ENGENHARIA DE MATERIAIS,5753
Daniel Almeida Fagundes,"CEE7295, Física II",QUÍMICA (Noturno),5752
Daniel Almeida Fagundes,"CEE7295, Física II",Química Bacharelado,4757
Daniel Girardi,"BLU6206, Física Experimental I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2754B
Daniel Girardi,"BLU6206, Física Experimental I",ENGENHARIA DE MATERIAIS,2753A
Daniel Martins Lima,"BLU3602, Sistemas de Controle",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754A
Daniel Martins Lima,"BLU3602, Sistemas de Controle",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754B
Daniel Martins Lima,"BLU3004, Introdução ao Controle Preditivo",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Daniela Brondani,"CEE5708, Química Ambiental",QUÍMICA (Noturno),9752
Daniela Brondani,"CEE7306, Química Analítica",QUÍMICA (Noturno),3752
Daniela Brondani,"CEE5708, Química Ambiental",Química Bacharelado,8757
Daniela Brondani,"CEE7205, Química Analítica (EXT 18h-a)",Química Bacharelado,2757
Ebrahim Samer El Youssef,"BLU3401, Sinais e Sistemas Lineares",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,04754A
Ebrahim Samer El Youssef,"BLU3401, Sinais e Sistemas Lineares",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,04754B
Ebrahim Samer El Youssef,"BLU3900, Projeto Especializado",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Ebrahim Samer El Youssef,"BLU3049, Tópicos Especiais em Controle de Processos I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Edilaine Aparecida Vieira,"CEE7307, Organização e Gestão escolar (PCC18h/a)",MATEMÁTICA - Licenciatura (noturno),2751
Edilaine Aparecida Vieira,"CEE7307, Organização e Gestão escolar (PCC18h/a)",QUÍMICA (Noturno),3752
Eduardo Zapp,"CEE1101, Química Experimental",ENGENHARIA TÊXTIL,1755
Eduardo Zapp,"CEE7107, Química Geral Experimental",QUÍMICA (Noturno),1752
Eslley Scatena Gonçales,"CEE7195, Física I",MATEMÁTICA - Licenciatura (noturno),8751
Fabiana Raupp,"DET7100, Gestão ambiental em Organizações (PIDRIS 36 h/aula)",ENGENHARIA TÊXTIL,7755
Fabiana Raupp,"DET1030, Planejamento Estratégico",ENGENHARIA TÊXTIL,9755
Fabiana Raupp,"DET3800, Gestão ambiental",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Fabiana Schmitt Correa,"CEE7922, LIBRAS II (PCC 18 Horas-Aula)",MATEMÁTICA - Licenciatura (noturno),6751
Fabiana Schmitt Correa,"CEE7921, LIBRAS I (PCC 18 Horas-Aula)",MATEMÁTICA - Licenciatura,5756
Fabiana Schmitt Correa,"CEE7194, Educação Especial (PCC 18 Horas-Aula)",QUÍMICA (Noturno),5752
Fabio Rafael Segundo,"BLU3302, Microprocessadores",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,03754A
Fabio Rafael Segundo,"BLU3302, Microprocessadores",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,03754B
Fabio Rafael Segundo,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Fernanda Steffens,"DET1610, Tecnologia de Nãotecido",ENGENHARIA TÊXTIL,6755
Fernanda Steffens,"DET1805, Têxteis Técnicos e interativos",ENGENHARIA TÊXTIL,8755
Fernando Fuzinatto Dall Agnol,"CEE6106, Física I",ENGENHARIA TÊXTIL,3755
Fernando Fuzinatto Dall Agnol,"CEE6109, Física II",ENGENHARIA TÊXTIL,4755
Franciellen Rodrigues da Silva Costa,"CEE5800, Estágio Supervisionado II",QUÍMICA (Noturno),8752
Franciellen Rodrigues da Silva Costa,"CEE5772, Laboratório de Prática de Ensino-Aprendizagem em Química I",QUÍMICA (Noturno),7752
Franciellen Rodrigues da Silva Costa,"CEE7108, Introdução ao Ensino de Química",QUÍMICA (Noturno),1752
Franciely Velozo Aragão,"DET7000, Engenharia da Qualidade",ENGENHARIA TÊXTIL,7755
Franciely Velozo Aragão,"DET1803, Planejamento, Programação e Controle da Produção",ENGENHARIA TÊXTIL,9755
Franciely Velozo Aragão,"BLU7025, Segurança do Trabalho",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Franciely Velozo Aragão,"DET1803, Planejamento, Programação e Controle da Produção",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Glaucio Régis Nagurniak,"CEE5403, Termodinâmica Química",QUÍMICA (Noturno),5752
