Docente,Disciplina,Curso,Turma
Rita de Cassia Siqueira Curto Valle,"DET1906, Conservação de Substratos Têxteis",ENGENHARIA TÊXTIL,9755
Rita de Cassia Siqueira Curto Valle,"DET1042, Biotecnologia Têxtil (optativa II)",ENGENHARIA TÊXTIL,7755
Selene de Souza Siqueira Soares,"DET1813, Microeconomia (TURMA CONJ.)",ENGENHARIA TÊXTIL,9755
Selene de Souza Siqueira Soares,"DET3706, Gestão de Projetos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754
Selene de Souza Siqueira Soares,"DET1814, Economia",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Selene de Souza Siqueira Soares,"DET1813, Microeconomia (TURMA CONJ.)",ENGENHARIA DE MATERIAIS,9753
Sergio Luiz Ferreira,"CAC7011, Tecnologias para o Desenvolvimento Inclusivo (EXT 36h-a)",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754
Sheila Santisi Travessa,"CAC1403, Eletrotécnica",ENGENHARIA TÊXTIL,5755
Sheila Santisi Travessa,"BLU1403, Eletrotécnica (Eng Tex)",ENGENHARIA TÊXTIL,5755
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754A
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754B
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754C
Sheila Santisi Travessa,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Sheila Santisi Travessa,"CAC3201, Sistemas Digitais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754B
Sheila Santisi Travessa,"CAC3201, Sistemas Digitais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754A
Silmar Jose Spinardi Franchi,"CEE7902, Bioinorgânica",QUÍMICA (Noturno),9752
Silmar Jose Spinardi Franchi,"CEE7603, Química Inorgânica Experimental II",Química Bacharelado,8757
Silmar Jose Spinardi Franchi,"CEE7603, Química Inorgânica Experimental II",Química Bacharelado,6757
Silmar Jose Spinardi Franchi,"CEE7902, Bioinorgânica",Química Bacharelado,8757
Steffan Macali Werner,"CAC7002, Ciência-Tecnologia-Sociedade",ENGENHARIA TÊXTIL,4755
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA TÊXTIL,3755
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Steffan Macali Werner,"CAC7008, Ciência - tecnologia e sociedade",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754
Steffan Macali Werner,"CAC7009, Tecnologia, Inovação, Desenvolvimento e Sociedade",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Steffan Macali Werner,"BLU7000, Ciência-Tecnologia-Sociedade",ENGENHARIA DE MATERIAIS,7753
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA DE MATERIAIS,5753
Steffan Macali Werner,"CAC2903, Ética, Direitos Humanos e Diversidade Sociocultural",ENGENHARIA DE MATERIAIS,9753
Tiago Davi Curi Busarello,"BLU3014, Eletrônica de Potência",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Tiago Davi Curi Busarello,"BLU7210, TCC",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10754
Wanderson Santana da Silva,"EMT2405, Resistência e Falha em Materiais",ENGENHARIA DE MATERIAIS,04753
Wanderson Santana da Silva,"EMT2702, Engenharia de Superfícies",ENGENHARIA DE MATERIAIS,09753
